PamKlgMap1I	2024-03-10	N	Series|NA|Idol Throwdown|v. 3.0	
5075	co	JacobDRAGFGC	su	Higtu	2
5205	co	JacobDRAGFGC	su	Higtu	2
5439	su	Valcion	fu	vikarus	2
5608	su	Valcion	fu	vikarus	2
5932	ko	Kemo	su	punError	1
6896	ko	Kemo	su	punError	2
7216	ay	Lem	bo	Shiburizu	1
7327	ay	Lem	bo	Shiburizu	1
8549	ay	ToastRider	co	Lucy	2
8655	ay	ToastRider	co	Lucy	2
8891	co	Lucy	ay	AstolfoEnthusiast	1
9007	co	Lucy	ay	AstolfoEnthusiast	1
9254	ay	ToastRider	su	Makoto Hikawa	2
9380	ay	ToastRider	su	Makoto Hikawa	2
10486	ay	Lem	co	Lucy	2
10589	ay	Lem	co	Lucy	2
10919	co	Lucy	pe	HyperHICO	1
11178	co	Lucy	pe	HyperHICO	1
12071	ay	ToastRider	co	DekaFumoDeathCult	2
12157	ay	ToastRider	co	DekaFumoDeathCult	2
12309	ay	ToastRider	co	DekaFumoDeathCult	2
12405	ay	ToastRider	co	DekaFumoDeathCult	2

wgkMbadPz30	2023-05-06	N	v. 1.0|NA|VSD	
105	ko	CheckThese	fu	infernochim	1
276	ko	CheckThese	fu	infernochim	1
407	ko	CheckThese	bo	Limbus Sweep	1
531	ko	CheckThese	bo	Limbus Sweep	1
701	co	CheckThese	bo	Flaud	1
816	co	CheckThese	bo	Flaud	2
916	ko	CheckThese	bo	Flaud	1
1053	co	CheckThese	bo	Dojima	1
1192	co	CheckThese	bo	Dojima	1
1344	so	Wonder_Chef	co	CheckThese	1
1452	so	Wonder_Chef	ko	CheckThese	2
1613	so	Wonder_Chef	ko	CheckThese	2
1846	ko	CheckThese	bo	Limbus Sweep	2
1951	ko	CheckThese	bo	Limbus Sweep	2
2119	co	CheckThese	bo	Limbus Sweep	1
2214	co	CheckThese	bo	Limbus Sweep	1

HW4QEiAN9VI	2023-11-03	N	v. 3.0|EU|Cross-Region|SA|AleksandrrrDunkelheit43	
1214	bo	Iralalabala	pe	Fernansg123	1
1395	bo	Iralalabala	pe	Fernansg123	1
1881	ay	Iralalabala	bo	AleksandrrrDunkelheit43	1
1993	ay	Iralalabala	bo	AleksandrrrDunkelheit43	2
2248	su	Iralalabala	bo	AleksandrrrDunkelheit43	2
2541	co	naranjus	bo	Iralalabala	1
2833	ko	Iralalabala	pe	Fernansg123	2
2955	ko	Iralalabala	pe	Fernansg123	2
3176	su	Radsirculs	ol	AleksandrrrDunkelheit43	1
3279	su	Radsirculs	ol	AleksandrrrDunkelheit43	1
3737	ak	Radsirculs	pe	Fernansg123	2
3905	bo	Radsirculs	pe	Fernansg123	1
4048	bo	Radsirculs	pe	Fernansg123	1
4597	co	AleksandrrrDunkelheit43	co	naranjus	2
4722	co	AleksandrrrDunkelheit43	co	naranjus	2
4914	co	naranjus	su	Radsirculs	2
5043	co	naranjus	su	Radsirculs	1
5168	co	naranjus	su	Radsirculs	1
5447	ay	Radsirculs	ay	Iralalabala	1
5550	ay	Radsirculs	co	Iralalabala	1
6106	co	naranjus	ay	Radsirculs	2
6252	co	naranjus	ay	Radsirculs	1
6395	co	naranjus	ay	Radsirculs	2

rZYdQumHG7c	2024-03-03	N	v. 3.0|EU|Cross-Region|SA|AleksandrrrDunkelheit43	
1248	pe	Fernansg123	ko	AleksandrrrDunkelheit43	1
1415	pe	Fernansg123	ko	AleksandrrrDunkelheit43	1
1922	pe	Fernansg123	bo	AleksandrrrDunkelheit43	1
2061	pe	Fernansg123	bo	AleksandrrrDunkelheit43	1
2223	pe	Fernansg123	bo	AleksandrrrDunkelheit43	1
2379	pe	Fernansg123	bo	AleksandrrrDunkelheit43	1
2547	pe	Fernansg123	bo	AleksandrrrDunkelheit43	1
2777	fu	Fernansg123	co	AleksandrrrDunkelheit43	1
2972	fu	Fernansg123	co	AleksandrrrDunkelheit43	2
3497	ay	Fernansg123	ay	AleksandrrrDunkelheit43	1
3652	ay	Fernansg123	ay	AleksandrrrDunkelheit43	1
4249	ko	Fernansg123	su	AleksandrrrDunkelheit43	1
4481	ko	Fernansg123	su	AleksandrrrDunkelheit43	2
4658	ko	Fernansg123	su	AleksandrrrDunkelheit43	1
4863	co	Fernansg123	ol	AleksandrrrDunkelheit43	1
5023	co	Fernansg123	ol	AleksandrrrDunkelheit43	1
5141	co	Fernansg123	ol	AleksandrrrDunkelheit43	1
5366	pe	Fernansg123	ak	AleksandrrrDunkelheit43	1
5559	pe	Fernansg123	ak	AleksandrrrDunkelheit43	1
5696	pe	Fernansg123	ak	AleksandrrrDunkelheit43	1
5826	pe	Fernansg123	ak	AleksandrrrDunkelheit43	1
5962	pe	Fernansg123	ak	AleksandrrrDunkelheit43	1
6174	pe	Fernansg123	ko	AleksandrrrDunkelheit43	1

4VmkJ-U355s	2023-05-15	N	v. 1.0|SA|Diegoismo	
17	fu	Kiel D-01	ay	ROYCA	2

mjZiIisAPAY	2023-05-15	N	v. 1.0|SA|Diegoismo	
11	so	Kiel D-01	ay	ROYCA	2

UClpi_akXWE	2023-05-15	N	v. 1.0|SA|Diegoismo	
16	ay	Demons_FK	ay	Demi	2
134	ay	Demons_FK	ay	Demi	2

qGH8WDxk9ns	2023-05-15	N	v. 1.0|SA|Diegoismo	
0	ay	Shinda	fu	Razzen	2
226	ay	Shinda	fu	Razzen	1
418	ay	Shinda	fu	Razzen	2

LRIkmnumpv0	2023-05-15	N	v. 1.0|SA|Diegoismo	
14	ay	JohnAlvarez17	su	Wex	1
120	ay	JohnAlvarez17	su	Wex	1

-8rxtK-7hZ4	2023-05-15	N	v. 1.0|SA|Diegoismo	
9	fu	Alysrazor	ay	ouroboros09	1
105	fu	Alysrazor	ko	ouroboros09	1

ptY_6dNozYQ	2023-05-15	N	v. 1.0|SA|Diegoismo	
13	ay	Jhoel	ay	ROYCA	1
352	ay	Jhoel	ay	ROYCA	1

ZXOvIVvrGfI	2023-05-15	N	v. 1.0|SA|Diegoismo	
11	ay	Demi	fu	Razzen	1
101	ay	Demi	fu	Razzen	1

pI3el8VQ05U	2023-05-15	N	v. 1.0|SA|Diegoismo	
0	ay	JohnAlvarez17	ay	Napo	1
86	ay	JohnAlvarez17	ay	Napo	1

0ZXdV7pBzog	2023-05-15	N	v. 1.0|SA|Diegoismo	
11	fu	Alysrazor	fu	Mercer	1
97	fu	Alysrazor	fu	Mercer	1

Rz_uclKPprw	2023-05-15	N	v. 1.0|SA|Diegoismo	
0	ay	Demi	ay	Jhoel	1
69	ay	Demi	ay	Jhoel	1

6ydHKRFn6-w	2023-05-15	N	v. 1.0|SA|Diegoismo	
10	fu	Alysrazor	ay	JohnAlvarez17	1
113	fu	Alysrazor	ay	JohnAlvarez17	1

xsBFb4GLL-g	2023-05-15	N	v. 1.0|SA|Diegoismo	
10	ay	JohnAlvarez17	ay	Jhoel	1
184	ay	JohnAlvarez17	ay	Jhoel	2
364	ay	JohnAlvarez17	ay	Jhoel	2

O6vIZXU-Sjs	2023-05-15	N	v. 1.0|SA|Diegoismo	
11	fu	Alysrazor	ay	Demi	1
111	fu	Alysrazor	ay	Demi	2
258	fu	Alysrazor	ay	Demi	2

6zfb5bcFC68	2024-04-21	N	v. 3.0|EU|The Hollow Night|Series	
602	ko	Kemo	ak	Edward Yolag	2
734	ko	Kemo	ak	Edward Yolag	2
941	bo	FaceBreaker	ko	Exslide	2
1101	bo	FaceBreaker	ko	Exslide	1
1268	bo	FaceBreaker	ko	Exslide	1
1565	ak	Edward Yolag	ol	Lozardo	2
1710	ak	Edward Yolag	ol	Lozardo	1
1845	ak	Edward Yolag	ol	Lozardo	1
2241	ko	Kemo	ko	Exslide	2
2391	ko	Kemo	ko	Exslide	1
2994	ko	Kemo	bo	FaceBreaker	1
3209	ko	Kemo	so	FaceBreaker	2
3343	ko	Kemo	so	FaceBreaker	2
3679	ol	Lozardo	ko	Exslide	1
3775	ol	Lozardo	ko	Exslide	1
4042	ak	Edward Yolag	ko	Exslide	2
4247	ak	Edward Yolag	ko	Exslide	1
4403	ak	Edward Yolag	ko	Exslide	2
4625	ol	Lozardo	bo	FaceBreaker	1
4737	ol	Lozardo	bo	FaceBreaker	1
4977	ak	Edward Yolag	bo	FaceBreaker	1
5103	ak	Edward Yolag	so	FaceBreaker	1
5420	ko	Kemo	ol	Lozardo	1
5559	ko	Kemo	ol	Lozardo	2
5750	ko	Kemo	ol	Lozardo	1

tm2Kjl0TOA0	2024-04-14	N	v. 3.0|SA|HoloSud Showdown	
207	ko	MDX	ko	SEDEX | pacote	1
340	ko	MDX	ko	SEDEX | pacote	2
537	ko	MDX	ko	SEDEX | pacote	1
804	su	DamianR95	ak	Ajosac96	1
971	su	DamianR95	ak	Ajosac96	1
1169	ak	Mukyo	fu	SEDEX | Encomenda	1
1316	ak	Mukyo	fu	SEDEX | Encomenda	2
1467	ak	Mukyo	fu	SEDEX | Encomenda	1
1692	pe	LudgerKant	su	PratesKun	1
1885	pe	LudgerKant	su	PratesKun	1
2115	so	Udo5678	fu	Mizuha	1
2267	so	Udo5678	fu	Mizuha	1
2391	so	Richi87	ko	MDX	2
2534	so	Richi87	ko	MDX	1
2789	so	Richi87	ko	MDX	2
3328	ak	Mukyo	ko	MDX	1
3441	ak	Mukyo	ko	MDX	1
3749	pe	LudgerKant	ko	TotoroXVI	1
3903	pe	LudgerKant	fu	TotoroXVI	1
4141	pe	LudgerKant	ay	Beltenebris	2
4284	pe	LudgerKant	ay	Beltenebris	2
4775	ay	Beltenebris	ak	Mukyo	1
4921	ay	Beltenebris	ak	Mukyo	1
5077	ay	Beltenebris	ak	Mukyo	1
5691	pe	LudgerKant	bo	Seishin	1
5831	pe	LudgerKant	bo	Seishin	2
5933	pe	LudgerKant	bo	Seishin	2
6154	bo	Seishin	fu	SEDEX | Encomenda	2
6293	bo	Seishin	fu	SEDEX | Encomenda	2
6595	fu	SEDEX | Encomenda	ak	Mukyo	1
6720	fu	SEDEX | Encomenda	ak	Mukyo	1
6896	fu	SEDEX | Encomenda	ak	Mukyo	2
7052	fu	SEDEX | Encomenda	ak	Mukyo	1
7243	ay	Beltenebris	fu	SEDEX | Encomenda	2
7423	ay	Beltenebris	fu	SEDEX | Encomenda	2
7559	ay	Beltenebris	fu	SEDEX | Encomenda	2
7727	ay	Beltenebris	fu	SEDEX | Encomenda	2
7828	ay	Beltenebris	fu	SEDEX | Encomenda	1
8021	ay	Beltenebris	fu	SEDEX | Encomenda	2
8172	ay	Beltenebris	fu	SEDEX | Encomenda	1
8320	ay	Beltenebris	fu	SEDEX | Encomenda	1

2-lSl9zCLW8	2023-12-02	N	v. 3.0|NA|CWYB Best Girl 2023	
1394	ay	AyuuH	ko	Sofie	1
2051	ay	AyuuH	so	Sofie	1
2345	ay	AyuuH	bo	Sofie	1
2918	bo	TheDm	ay	Demon	1
3806	bo	TheDm	ay	Demon	1
4295	bo	TheDm	ay	Demon	1
4613	ay	Gloopy	co	Kromium	1
4713	ay	Gloopy	co	Kromium	1
4817	ay	Gloopy	co	Kromium	1
5201	bo	TheDm	ay	AyuuH	1
5405	bo	TheDm	ay	AyuuH	1
5823	ay	Gloopy	ay	DazzaEz	1
6158	ay	Gloopy	su	DazzaEz	1
6295	ay	Gloopy	su	DazzaEz	1
6613	bo	TheDm	ay	Gloopy	1
6709	bo	TheDm	ay	Gloopy	1
6795	bo	TheDm	ay	Gloopy	1
6898	bo	TheDm	ay	Gloopy	1
7012	bo	TheDm	ay	Gloopy	1
7663	bo	owoster	ay	AyuuH	1
7834	bo	owoster	ay	AyuuH	1
8211	ay	AyuuH	bo	owoster	1
8488	ay	AyuuH	bo	owoster	1
8880	ay	AyuuH	ko	owoster	1
9339	ay	Gloopy	ay	AyuuH	2
9466	ay	Gloopy	ay	AyuuH	2
9875	ay	AyuuH	ay	Gloopy	1
10252	ay	AyuuH	ay	Gloopy	2
10409	ay	AyuuH	ay	Gloopy	2
10588	ay	AyuuH	ay	Gloopy	1
10738	ay	AyuuH	ay	Gloopy	1
11198	ay	AyuuH	bo	TheDm	2
11536	ay	AyuuH	bo	TheDm	2
11890	bo	TheDm	su	Knawmun	2
12012	bo	TheDm	su	Knawmun	2
12128	bo	TheDm	su	Knawmun	1
12262	bo	TheDm	su	Knawmun	2
12455	bo	TheDm	su	Knawmun	2
12591	bo	TheDm	su	Knawmun	2

coC-PJdQMhE	2023-12-02	N	v. 3.0|NA|CWYB Best Girl 2023	
720	ko	MediumKiwi	fu	Rhine	1
878	ko	MediumKiwi	fu	Rhine	1
1137	ko	MediumKiwi	fu	Rhine	1
1682	ko	Takii	su	Natsuyuno	2
2032	bo	Takii	su	Natsuyuno	2
2197	ko	Takii	su	Natsuyuno	2
2659	ko	NotTowa	ko	MediumKiwi	1
2807	ko	NotTowa	ko	MediumKiwi	1
3177	ko	NotTowa	ko	MediumKiwi	2
3439	ko	NotTowa	ko	MediumKiwi	2
3613	ko	NotTowa	ko	MediumKiwi	2
4081	ko	Tenshi	ay	Hanan-Baal	2
4276	ko	Tenshi	ay	Hanan-Baal	2
4411	ay	Hanan-Baal	ko	Tenshi	1
5421	ko	Takii	so	Azami	2
5751	ko	Takii	so	Azami	2
6049	bo	Takii	so	Azami	1
6272	bo	Takii	so	Azami	1
6453	ko	Takii	so	Azami	1
7107	ko	Takii	su	Natsuyuno	2
7299	ko	Takii	su	Natsuyuno	1
7453	ko	Takii	su	Natsuyuno	2
7641	ko	Takii	su	Natsuyuno	2
8122	ko	MediumKiwi	ay	Hanan-Baal	2
8270	ko	MediumKiwi	ay	Hanan-Baal	2
8483	ko	MediumKiwi	ay	Hanan-Baal	2
9215	su	Natsuyuno	ay	Hanan-Baal	2
9413	su	Natsuyuno	ay	Hanan-Baal	1
9625	su	Natsuyuno	ay	Hanan-Baal	2
9885	su	Natsuyuno	ay	Hanan-Baal	2
10100	su	Natsuyuno	ay	Hanan-Baal	1
10249	su	Natsuyuno	ay	Hanan-Baal	1
10397	su	Natsuyuno	ay	Hanan-Baal	1
10593	su	Natsuyuno	ay	Hanan-Baal	1
10926	ko	Takii	ay	Hanan-Baal	1
11053	ko	Takii	ay	Hanan-Baal	2
11191	ko	Takii	ay	Hanan-Baal	2
11293	ko	Takii	ay	Hanan-Baal	2
11506	ko	Takii	ay	Hanan-Baal	2
11696	ko	Takii	ay	Hanan-Baal	2
11971	su	Natsuyuno	ay	Hanan-Baal	1
12163	su	Natsuyuno	ay	Hanan-Baal	2
12387	su	Natsuyuno	ay	Hanan-Baal	1
12605	su	Natsuyuno	ay	Hanan-Baal	1
12714	su	Natsuyuno	ay	Hanan-Baal	2
12903	su	Natsuyuno	ay	Hanan-Baal	2
13035	su	Natsuyuno	ay	Hanan-Baal	1
13166	su	Natsuyuno	ay	Hanan-Baal	2
13304	su	Natsuyuno	ay	Hanan-Baal	1
13613	ay	Knawmun	ay	Hanan-Baal	1
13812	co	Knawmun	ay	Hanan-Baal	2
13965	co	Knawmun	ay	Hanan-Baal	1
14267	ol	Knawmun	ay	Hanan-Baal	1
14454	fu	Knawmun	ay	Hanan-Baal	1
14619	ko	Knawmun	ay	Hanan-Baal	1
14952	su	Knawmun	ko	Takii	1
15049	su	Knawmun	ko	Takii	1
15192	su	Knawmun	ko	Takii	1
15292	su	Knawmun	ko	Takii	1
15515	su	Knawmun	ko	Takii	1

Ba00UsJffWw	2023-09-02	N	v. 2.0|Cross-Region|NA|EU|HEFS	
462	fu	Violingolfer	pe	fvoyager	1
564	fu	Violingolfer	pe	fvoyager	1
1484	ay	Logec	su	Crystal	1
1622	ay	Logec	su	Crystal	1
1904	co	Lucy	pe	Omergosh	1
2044	co	Lucy	so	Omergosh	1
2268	fu	Chzchan	ko	Jammy	1
2375	fu	Chzchan	ko	Jammy	1
2703	co	Lucy	ay	Logec	2
3002	co	Lucy	ay	Logec	1
3108	co	Lucy	ay	Logec	1
3400	fu	Chzchan	fu	Violingolfer	2
3605	fu	Chzchan	fu	Violingolfer	1
3780	fu	Chzchan	fu	Violingolfer	1
4483	su	Crystal	fu	Violingolfer	1
4697	su	Crystal	fu	Violingolfer	2
4858	su	Crystal	fu	Violingolfer	2
5116	ay	Logec	pe	Omergosh	1
5205	ay	Logec	so	Omergosh	1
5511	co	Lucy	fu	Chzchan	1
5739	co	Lucy	fu	Chzchan	1
5952	co	Lucy	fu	Chzchan	1
6214	ak	Logec	ak	Violingolfer	1
6341	ak	Logec	fu	Violingolfer	1
6573	fu	Chzchan	ay	Logec	2
6687	fu	Chzchan	ay	Logec	2
6896	fu	Chzchan	ay	Logec	1
7089	fu	Chzchan	ay	Logec	2
7244	co	Lucy	ay	Logec	1
7431	co	Lucy	ay	Logec	1
7636	co	Lucy	ay	Logec	2
7794	co	Lucy	ay	Logec	1

m2UwpO-W8gs	2023-07-21	N	v. 1.3|ME|Fighters GCC	
404	ay	Cake6	bo	Aboodi1517	2
587	ay	Cake6	bo	Aboodi1517	1
676	ay	Cake6	bo	Aboodi1517	2
814	ay	Cake6	bo	Aboodi1517	2
994	ay	Cake6	bo	Aboodi1517	2
1095	ay	Cake6	bo	Aboodi1517	1
1247	ay	Cake6	bo	Aboodi1517	2
2113	ko	Badoor	co	Cake6	1
2309	ko	Badoor	co	Cake6	1
2445	ko	Badoor	co	Cake6	1
2563	ko	Badoor	co	Cake6	1
2678	ko	Badoor	co	Cake6	1
2960	fu	Badoor	bo	Aboodi1517	1
3077	fu	Badoor	bo	Aboodi1517	1
3234	fu	Badoor	bo	Aboodi1517	1
3395	fu	Badoor	bo	Aboodi1517	1
3498	fu	Badoor	bo	Aboodi1517	1

AtnFVCsN7es	2023-05-12	N	v. 1.0|NA|Final Wave	
489	ay	SenshiSushi	ay	zenos_saki	1
673	ay	SenshiSushi	ay	zenos_saki	2
769	ay	SenshiSushi	ay	zenos_saki	2
1340	su	souyoto	ko	Bulkyharpy	1
1427	su	souyoto	ko	Bulkyharpy	1
1737	ak	Mmmmmmmmmmmmmmm	ak	Kurolamb	2
1863	ak	Mmmmmmmmmmmmmmm	ak	Kurolamb	2
2717	ko	ShinJay	ak	Kurolamb	2
2870	bo	ShinJay	ak	Kurolamb	2
3312	ay	zenos_saki	ay	souyoto	1
3502	ay	zenos_saki	su	souyoto	2
3642	ay	zenos_saki	su	souyoto	1
3977	ak	Kurolamb	ay	zenos_saki	1
4086	ak	Kurolamb	ay	zenos_saki	1
4183	ak	Kurolamb	ay	zenos_saki	1
4530	ak	Mmmmmmmmmmmmmmm	su	souyoto	1
4697	ak	Mmmmmmmmmmmmmmm	su	souyoto	2
4932	su	souyoto	ay	SenshiSushi	1
5210	su	souyoto	ay	SenshiSushi	1
5765	su	souyoto	ay	zenos_saki	1
6037	su	souyoto	ay	zenos_saki	2
6231	su	souyoto	ay	zenos_saki	2
6345	su	souyoto	ay	zenos_saki	1
6542	su	souyoto	ay	zenos_saki	2
6858	ak	Kurolamb	ay	zenos_saki	1
7004	ak	Kurolamb	ay	zenos_saki	1
7122	ak	Kurolamb	ay	zenos_saki	1

H0AdSycED9o	2023-11-11	N	v. 3.0|EU|SA|Cross-Region|Spanish Online Fighting Arena	
2034	ko	Reddo	ko	BlueLink	2
2145	ko	Reddo	ko	BlueLink	2
2491	su	randomly generated name	fu	Satho	2
2921	su	randomly generated name	fu	Satho	2
3236	ko	BlueLink	ay	TiPiCaL666	2
3417	ko	BlueLink	ay	TiPiCaL666	1
3535	ko	BlueLink	ay	TiPiCaL666	1
3763	su	randomly generated name	ay	TiPiCaL666	1
3872	su	randomly generated name	ay	TiPiCaL666	1
4823	ko	Reddo	su	randomly generated name	2
4917	ko	Reddo	su	randomly generated name	2
5146	su	Raiden	ko	BlueLink	2
5246	su	Raiden	ko	BlueLink	2
5434	ko	Raiden	ko	BlueLink	2
5614	ko	Raiden	su	randomly generated name	2
5755	ko	Raiden	su	randomly generated name	1
6025	ko	Raiden	su	randomly generated name	1
6230	ko	Raiden	su	randomly generated name	1
6591	ko	Raiden	ko	BlueLink	2
6801	ko	Raiden	ko	BlueLink	2
6918	ko	Raiden	ko	BlueLink	2

-lVSXFj8L6Q	2024-05-03	N	v. 3.0|EU|SA|Cross-Region|Spanish Online Fighting Arena	
1938	ko	Reddo	so	Edward Yolag	2
2142	ko	Reddo	so	Edward Yolag	1
2373	ko	Reddo	bo	Edward Yolag	2
2698	ko	Raiden	pe	Assis	1
2807	ko	Raiden	pe	Assis	1
3120	ko	BlueLink	ol	Edward Yolag	2
3277	ko	BlueLink	ol	Edward Yolag	1
3403	ko	BlueLink	co	Edward Yolag	1
3735	ko	Reddo	pe	Assis	1
3817	ko	Reddo	pe	Assis	1
4146	su	Edward Yolag	ko	Reddo	2
4349	ay	Edward Yolag	ko	Reddo	1
4465	ay	Edward Yolag	ko	Reddo	1
4761	ko	BlueLink	ko	Raiden	1
4885	ko	BlueLink	ko	Raiden	1
5103	ko	BlueLink	ko	Raiden	1
5321	ko	Raiden	fu	Edward Yolag	2
5437	ko	Raiden	fu	Edward Yolag	1
5631	ko	Raiden	fu	Edward Yolag	1
5864	ko	Raiden	ak	Edward Yolag	2
5981	ko	Raiden	ak	Edward Yolag	2
6236	ak	Edward Yolag	ko	BlueLink	1
6373	ak	Edward Yolag	ko	BlueLink	1
6605	ak	Edward Yolag	ay	BlueLink	1
6802	ko	Edward Yolag	ko	BlueLink	2
6989	fu	Edward Yolag	ko	BlueLink	1
7154	fu	Edward Yolag	ko	BlueLink	1
7316	fu	Edward Yolag	ko	BlueLink	1

nbI9d8xKQU0	2023-06-18	N	v. 1.3|SA|Hololive Fans Latinoamerica	
101	bo	Vegito7	ay	FaboxxD5	1
203	bo	Vegito7	ay	FaboxxD5	1
333	bo	Vegito7	ay	FaboxxD5	1
490	bo	Vegito7	ay	FaboxxD5	2
1094	bo	Vegito7	ay	FaboxxD5	1
1234	bo	Vegito7	ay	FaboxxD5	1
1742	ak	Gin	fu	CHEKO525	1
1924	ak	Gin	fu	CHEKO525	1
2085	ak	Gin	fu	CHEKO525	2
2220	ak	Gin	fu	CHEKO525	2
2394	ak	Gin	fu	CHEKO525	2
2576	ak	Gin	fu	CHEKO525	1
2689	ak	Gin	fu	CHEKO525	1
2839	ak	Gin	fu	CHEKO525	1
3224	ay	YunFD	su	xLordT	2
3332	ay	YunFD	su	xLordT	1
3502	ay	YunFD	su	xLordT	1
3661	ay	YunFD	su	xLordT	1
3835	ay	YunFD	su	xLordT	2
3933	ay	YunFD	su	xLordT	2
4099	ay	YunFD	su	xLordT	1
4282	ay	YunFD	su	xLordT	2
4459	ay	YunFD	su	xLordT	2
4952	ko	sansepul	ay	Soran	1
5324	ko	sansepul	ay	Soran	1
5532	ko	sansepul	ay	Soran	1
5809	ko	sansepul	ay	Soran	1
5965	ko	sansepul	ay	Soran	1
6664	co	Uriel Spartan	ay	Neuki	1
6935	co	Uriel Spartan	ay	Neuki	1
7242	co	Uriel Spartan	ay	Neuki	1
7448	co	Uriel Spartan	ay	Neuki	1
7644	co	Uriel Spartan	ay	Neuki	1

aoZEkw9Huls	2023-06-18	N	v. 1.0|SA|Hololive Fans Latinoamerica	
25	co	AlucarD	bo	AxF	2
143	co	AlucarD	bo	AxF	1
343	bo	AxF	fu	Ikyanee	1
498	bo	AxF	fu	Ikyanee	1
664	bo	AxF	fu	Ikyanee	2
958	bo	AxF	fu	Ikyanee	1
1478	ko	whiptopia	ko	LeDibri	1
1907	ko	whiptopia	ko	LeDibri	1
2110	ko	whiptopia	ko	LeDibri	1
3101	fu	Franko9015	bo	YO-RAM	2
3469	fu	Franko9015	bo	YO-RAM	2
3630	fu	Franko9015	bo	YO-RAM	2
5246	ko	Veibae	fu	DARKIS982	1
5414	ko	Veibae	fu	DARKIS982	1
5589	ko	Veibae	fu	DARKIS982	1
6605	ko	hkw39x63	fu	AkukinTheFinal	2
6678	ko	hkw39x63	fu	AkukinTheFinal	2
6830	ko	hkw39x63	fu	AkukinTheFinal	2
7245	ko	Nikobeliko	so	juanitokamykaze240	2
7361	ko	Nikobeliko	so	juanitokamykaze240	1
7511	ko	Nikobeliko	so	juanitokamykaze240	2
7685	ko	Nikobeliko	so	juanitokamykaze240	2

0lbTKcVXcbQ	2023-06-18	N	v. 1.0|SA|Hololive Fans Latinoamerica	
1045	su	BK38482	fu	GreenFlare	1
1544	su	BK38482	fu	GreenFlare	1
1887	su	BK38482	ak	GreenFlare	1
4796	su	xLordT	ko	Soran	1
4908	su	xLordT	ko	Soran	1
5150	ay	xLordT	ko	Soran	1
6754	ay	YunFD	ko	sansepul	1
6967	ay	YunFD	ko	sansepul	1
7184	ay	YunFD	su	sansepul	1
7996	co	Uriel Spartan	su	BeretConRayas	1
8282	bo	Uriel Spartan	su	BeretConRayas	1
8541	bo	Uriel Spartan	su	BeretConRayas	1
9987	ay	Neuki	bo	kuhodeja	1
10317	ay	Neuki	bo	kuhodeja	2
10428	ay	Neuki	bo	kuhodeja	2
10512	ay	Neuki	bo	kuhodeja	2

ZJUi2vyJMfQ	2023-05-21	N	v. 1.0|SA|Torneio Alvanista	
723	fu	Luiz	ko	wiegraf_folles_	1
847	fu	Luiz	ko	wiegraf_folles_	1
958	fu	Luiz	ko	wiegraf_folles_	1
1248	su	monge com pá	co	lcfreezer	1
1375	su	monge com pá	co	lcfreezer	1
1559	su	monge com pá	co	lcfreezer	1
2024	fu	Luiz	ko	Mandaloriano 95	1
2233	fu	Luiz	ko	Mandaloriano 95	1
2361	fu	Luiz	ko	Mandaloriano 95	2
2540	fu	Luiz	ko	Mandaloriano 95	2
2773	fu	Luiz	ko	Mandaloriano 95	2
3136	ko	wiegraf_folles_	co	lcfreezer	2
3341	ko	wiegraf_folles_	co	lcfreezer	1
3568	ko	wiegraf_folles_	co	lcfreezer	2
3708	ko	wiegraf_folles_	co	lcfreezer	2
3979	co	lcfreezer	ko	Mandaloriano 95	2
4083	co	lcfreezer	ko	Mandaloriano 95	2
4177	co	lcfreezer	ko	Mandaloriano 95	2
4408	co	monge com pá	ko	wiegraf_folles_	1
4596	co	monge com pá	ko	wiegraf_folles_	1
4700	co	monge com pá	ko	wiegraf_folles_	1
4917	su	monge com pá	ko	Mandaloriano 95	2
5047	su	monge com pá	ko	Mandaloriano 95	2
5149	su	monge com pá	ko	Mandaloriano 95	2
5429	co	lcfreezer	fu	Luiz	1
5589	co	lcfreezer	fu	Luiz	2
5777	co	lcfreezer	fu	Luiz	1
5954	co	lcfreezer	fu	Luiz	2
6165	co	lcfreezer	fu	Luiz	1
6433	ko	wiegraf_folles_	ko	Mandaloriano 95	2
6525	ko	wiegraf_folles_	ko	Mandaloriano 95	2
6647	ko	wiegraf_folles_	ko	Mandaloriano 95	2
6861	ak	monge com pá	fu	Luiz	2
7031	su	monge com pá	fu	Luiz	1
7232	su	monge com pá	fu	Luiz	2
7371	su	monge com pá	fu	Luiz	1
7559	su	monge com pá	fu	Luiz	2

yKCslxiZGjI	2024-04-28	L	v. 3.0|Major|JP/SEA|EVO Japan 2024	
1413	so		ko		1
1514	so		ko		1
1680	so		ko		1
3390	co	UrRequiem	co	AOI	2
3487	co	UrRequiem	co	AOI	2
4115	ay	yo_ma142	fu	Kkururi	1
4195	ay	yo_ma142	fu	Kkururi	1
4917	ay	neddie	ol	dolson	2
5062	ay	neddie	ol	dolson	2
5749	fu	akira	ay	teto2nd	2
5865	fu	akira	ay	teto2nd	2
6355	so	motoyama	pe	Bob	2
6508	so	motoyama	pe	Bob	1
6667	so	motoyama	pe	Bob	1
7215	ko	Mastrcheap	su	Koushun	2
7332	ko	Mastrcheap	su	Koushun	2
8289	so	simada	fu	MiD	1
8470	so	simada	fu	MiD	2
8560	so	simada	fu	MiD	2
9313	ko	brrrr	ko	kannagiren0623	2
