PamKlgMap1I	2024-03-10	N	Series|NA|Idol Throwdown|v. 3.0	
31	su	Zean the One	ay	GrayFokxx	2
198	su	Zean the One	ay	GrayFokxx	2
324	su	Zean the One	ay	GrayFokxx	2

4LtRaCGx6J8	2023-05-29	N	v. 1.0|SA|Series|HoloSud Showdown	
32	bo	Benjakiller	co	Whisp	1
151	bo	Benjakiller	co	Whisp	1
262	bo	Benjakiller	co	Whisp	1

NwPw6JMxwJE	2023-05-20	N	v. 1.0|SA|Series|HoloSud Showdown	
34	bo	Benjakiller	su	Zean the One	2
142	bo	Benjakiller	su	Zean the One	1
269	bo	Benjakiller	su	Zean the One	2
396	bo	Benjakiller	su	Zean the One	2

8Fy0BfDmPG8	2023-05-20	N	v. 1.0|SA|Series|HoloSud Showdown	
45	ay	GrayFokxx	su	ZettaS	1
159	ay	GrayFokxx	su	ZettaS	1
257	ay	GrayFokxx	su	ZettaS	1

qo_7SsoRvu4	2023-05-20	N	v. 1.0|SA|Series|HoloSud Showdown	
31	su	Zean the One	su	ZettaS	2
203	su	Zean the One	su	ZettaS	2
349	su	Zean the One	su	ZettaS	1
481	su	Zean the One	su	ZettaS	1
590	su	Zean the One	su	ZettaS	1

suD3Q79f-1o	2023-05-20	N	v. 1.0|SA|Series|HoloSud Showdown	
51	su	Zean the One	ay	GrayFokxx	2
148	su	Zean the One	ay	GrayFokxx	1
299	su	Zean the One	ay	GrayFokxx	2
400	su	Zean the One	ay	GrayFokxx	2

gGlZ1S1yrZE	2023-05-27	N	v. 1.0|SA|Series|HoloSud Showdown	
33	ay	Gatostada	so	Ajosac96	2
201	ay	Gatostada	so	Ajosac96	2
295	ay	Gatostada	so	Ajosac96	2

4R9hc3cej10	2023-07-02	N	Womble|Series|v. 1.3|EU	
654	ko	neavy	fu	Edward Yolag	2
841	ko	neavy	fu	Edward Yolag	1
956	ko	neavy	fu	Edward Yolag	2
1287	fu	Lozardo	so	VanArtic	1
1451	fu	Lozardo	so	VanArtic	2
1551	fu	Lozardo	so	VanArtic	1
1944	fu	Lozardo	ay	Logec	2
2153	fu	Lozardo	ay	Logec	2
2276	fu	Lozardo	ay	Logec	1
2435	fu	Lozardo	ay	Logec	2
2649	so	VanArtic	fu	Edward Yolag	1
2790	so	VanArtic	fu	Edward Yolag	1
3039	so	VanArtic	fu	Lozardo	1
3166	so	VanArtic	fu	Lozardo	2
3247	so	VanArtic	fu	Lozardo	2
3360	so	VanArtic	fu	Lozardo	1
3605	so	VanArtic	fu	Lozardo	1
3808	so	VanArtic	ay	Logec	2
3929	so	VanArtic	ay	Logec	2
4066	so	VanArtic	ay	Logec	2

YA53WyQ5Aco	2023-05-27	N	v. 1.0|SA|Series|HoloSud Showdown	
39	ay	GrayFokxx	ay	SebaZXup	1
144	ay	GrayFokxx	ay	SebaZXup	1
232	ay	GrayFokxx	ay	SebaZXup	1

bmGXxHUSjZo	2023-05-27	N	v. 1.0|SA|Series|HoloSud Showdown	
41	ay	GrayFokxx	so	Ajosac96	1
154	ay	GrayFokxx	so	Ajosac96	1
290	ay	GrayFokxx	so	Ajosac96	1

